Hours,Activity,Local
9:00 - 9:15,Breakfast,Networking Lounge
9:15 - 10:00,Checkpoint 3,Main Room
10:00 - 12:30,Workshop 4,Main Room
12:30 - 13:00,Working Lunch,Networking Lounge
13:00 - 14:00,Checkpoint 4,Main Room
14:00 - 15:00,Preparation of Slides,Main Room
15:30 - 16:30,Final Presentations,Main Room
16:30 - 17:00,Closing Session,Main Room
